Pacific/Midway ( -11:00 )
Pacific/Tahiti ( -10:00 )
America/Yakutat ( -09:00 )
America/Vancouver ( -08:00 )
America/Denver ( -07:00 )
America/Winnipeg ( -06:00 )
America/Toronto ( -05:00 )
America/Halifax ( -04:00 )
America/Cayenne ( -03:00 )
America/Noronha ( -02:00 )
America/Scoresbysund ( -01:00 )
UTC ( +00:00 )
Europe/Paris ( +01:00 )
Asia/Beirut ( +02:00 )
Asia/Bahrain ( +03:00 )
Asia/Tehran ( +03:30 )
Asia/Dubai ( +04:00 )
Asia/Karachi ( +05:00 )
Asia/Colombo ( +05:30 )
Asia/Kathmandu ( +05:45 )
Asia/Dhaka ( +06:00 )
Asia/Rangoon ( +06:30 )
Asia/Bangkok ( +07:00 )
Asia/Kuala_Lumpur ( +08:00 )
Asia/Pyongyang ( +08:30 )
Asia/Seoul ( +09:00 )
Australia/Adelaide ( +09:30 )
Australia/Hobart ( +10:00 )
Pacific/Ponape ( +10:30 )
Pacific/Efate ( +11:00 )
Pacific/Wallis ( +11:30 )
Pacific/Auckland ( +12:00 )
Pacific/Apia ( +12:45 )
Pacific/Tongatapu ( +13:00 )
